,title,tags,text_nohtml,Topic,Metadescription
21,🇹🇷 Turkey: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Turkey? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Turkey, or can I use my card everywhere?
Cards are accepted in most places, but it is a good idea to carry some cash on you just in case.


💰 What currency do they use here?
The currency here is Liras. The symbols are TRY, TL, ₺


🏧 Which ATM’s can I use for free?
The bunq community has reported free withdrawals at these ATMs.


Akbank
Ziraat Bank
Yapı Kredi
ING

💵 If I want cash, how much should I take out of an ATM?
300 TRY should be enough for a few days, since you can use your card for nearly everything.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
Most EU mobile plans will charge you for roaming in Turkey.

Wifi is readily available in Turkey, especially in coffee shops.

If you want to get a local SIM card, you can learn about your options here.


  
Useful things to know
💁‍♀️ How does tipping work?
If you feel the service was good, you can leave 10 - 15% of the bill.
🍺 How much does a 0.5L beer cost?
€2,50
🍽 How much does an average meal cost?
€4,00
🚨 What’s the emergency number?
112


🔌 What type of plug do they use?
This one! It’s the standard European plug.



🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well in Turkey.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
Other currencies are accepted, like Euros or Dollars, but the exchange rates won´t be great.
  
Travel Perks
🎢 Visit famous attractions with 10% off
We've partnered with Tiqets to bring you discounts on attraction tickets in Turkey 🇹🇷. To get your discount, simply follow the link here and use our coupon code BUNQTIQETS10 at checkout. That's it! 🎊		


If you've been to Turkey 🇹🇷 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,bunq has compiled a list of useful tips for your trip to turkey . which ATMs are free to use?
22,⚡️What’s new in App Update 18.7.0,"['Updates', 'Knowledge', ""What's New?""]","Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will make your life easy.



iOS

What’s new 🙌

We’ve updated some of the flows in the app, so you can have an even better experience with bunq. Enjoy! 🌈

What’s fixed 🔨

A couple of deeplinks in the app wouldn’t redirect properly. We’ve fixed that.
You couldn’t re-enable auto accepting payments once you’ve disabled this feature. That’s fixed! ⚒️

If you were a new user trying to switch between your bunq accounts (the new one and the existing ones), you wouldn't see a ""forgot login code"" option. It’s all good now!


Android

What’s new 🙌

New bunqer? Welcome! We’ll give you a quick tour when you first open the app, to make life easy. 📲

What’s fixed 🔨

Some of you experienced issues with screen recordings. We’ve fixed it.

When Auto-Exporting from a business account, you could sometimes just see your personal sub-accounts as an option to export, and not your business ones too. Fixed.


For these and other improvements, update your app today! 🏃‍♂️

Stay tuned for more updates in the coming weeks!



Want to learn more?
Explore more bunq knowledge here 🌈
",NA,a couple of deeplinks in the app wouldnt redirect properly. Weve fixed that. you couldnt re-enable auto accepting payments once youve disabled this feature.
23,⚡️What’s new in App Update 18.6.0,"['Updates', 'Knowledge', ""What's New?""]","Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will make your life easy.



iOS

What’s new 🙌

When opening a new account we will guide you through a tour in the app to make sure that  you know where to find everything you need 🌈

What’s fixed 🔨

When adding multiple documents for review, the app would sometimes crash. We’ve fixed that. 📑

Due to a bug on our side, when some of our users selected switching to an Easy Bank plan, they started an Easy Green trial instead.

Sometimes, the app wouldn’t let you register your business account in the Netherlands, even if your personal details and address were from there. It could think your business is registered in Germany instead. We’ve fixed that.



Android

What’s new 🙌

We’ve added some new keywords to our Search feature, so you can find what you need even easier.🔎

What’s fixed 🔨

When receiving a payment, sometimes you couldn’t settle it in your business account, only in your personal one. Fixed that.

Some of our guest users weren’t able to start their Easy Bank or Easy Green trial due to a couple of bugs on our side . All good now! 🚀

We’ve fixed a couple of broken links within the app.


For these and other improvements, update your app today! 🏃‍♂️

Stay tuned for more updates in the coming weeks!



Want to learn more?
Explore more bunq knowledge here 🌈
",NA,rolled out a new update to our app that includes small new improvements and features that will make your life easier .
24,🇩🇰 Denmark: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Denmark? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Denmark, or can I use my card everywhere?
Card is accepted almost everywhere. However, 
carrying some cash is always a good idea.


💰 What currency do they use here?
The currency here is Danish Krone. The symbol is kr or DKK.


🏧 Which ATM’s can I use for free?

The bunq community has reported free withdrawals at these ATMs.

Please help us by commenting about free ATM's

The bunq community has reported additional fee's for withdrawals at these ATM's.

Danske Bank

💵 If I want cash, how much should I take out of an ATM?
300 DKK should be enough for a few days, since you can use your card for nearly everything.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
All EU mobile plans should let you roam for free.

If you don't have an EU plan, you can learn about your local SIM card options here.


  
Useful things to know
💁‍♀️ How does tipping work?
According to the Danish law, service is included in the bill. However, waiters always will appreciate a tip, so you can leave a tip between 5 and 10% of the total amount.
🍺 How much does a 0.5L beer cost?
€6,00
🍽 How much does an average meal cost?
€10,00
🚨 What’s the emergency number?
112


🔌 What type of plug do they use?
This one! It's a very happy power socket. Compatible with type C, E and F plugs, even though they wound be grounded then.



🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well in Denmark.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
Boat tours are a must in Denmark!

Travel Perks
🎢 Visit famous attractions with 10% off
We've partnered with Tiqets to bring you discounts on attraction tickets in Denmark 🇩🇰. To get your discount, simply follow the link here and use our coupon code BUNQTIQETS10 at checkout. That's it! 🎊
  
 Travel hands-free with a 20% discount on Stasher

Our partnership with Stasher will allow you to enjoy your destination to the fullest without having to worry about your luggage. You’ll be able to drop off your bags at trusted shops and hotels in Denmark with a 20% discount through this link 👌🏻.	


If you've been to Denmark 🇩🇰 share your experience! The following would be really useful for other bunqers to know:

Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,"the currency here is Danish Krone. The symbol is kr or DKK . if you want cash, 300 DKK should be enough for a few days ."
25,⚡️ What’s new in App Update 18.5.0,"['Updates', 'Knowledge', ""What's New?""]","Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will make your life easy.



iOS

What’s new 🙌

When creating a new account we offer one month of trial of the plan that you choose!

We've just launched a new, improved signup experience for our new bunqers. Enjoy! 🌈 


What’s fixed 🔨

We've fixed a couple of bugs to make your life easy. 


Android

What’s new 🙌

We’ve launched a new and improved onboarding flow for our personal users. Enjoy! 🚀

When creating a new account we offer one month of trial of the plan that you choose!


What’s fixed 🔨

When selecting your date of birth in the app, you couldn’t scroll past 1970. Fixed.

Your name was pre-filled when signing up for bunq. We’ve fixed that. ✅

Creating a new sub-account on some Android devices would lead to an error. All good now!



For these and other improvements, update your app today! 🏃‍♂️

Stay tuned for more updates in the coming weeks!



Want to learn more?
Explore more bunq knowledge here 🌈
",NA,weve rolled out a new update to our app that includes small new improvements and features that will make your life easy .
26, ⚡️ What’s new in App Update 18.4.0,"['Updates', ""What's New?""]","

Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will make your life easy.

iOS

What’s new 🙌

We’ve added a couple more keywords to help you find what you need in the app through the search bar. For example, you can now find our Support Center by simply typing “chat”.

You can now take multiple actions when searching for something in the app. 🚀

You can now upload your proof of residence straight through the bunq app, not through emails or chats with our support team. We’ll let you know when it’s time. Easy!

What’s fixed 🔨


Entering amounts in USD or GBP through Wise wasn’t always working properly. We’ve fixed that.

When a payment that you don’t recognize was made with a virtual card, you should immediately get the option of blocking that card. You wouldn’t always see this. It’s all good now 💳

Android

What’s new 🙌

You can now upload your proof of residence straight through the bunq app, not through emails or chat with our support team. We’ll let you know when it’s time. Easy!

What’s fixed 🔨

When scrolling through your balance prediction, the app sometimes crashed. Fixed that.

The daily limit you’d see in the app for adding money with PaySafeCash was not accurate. We’ve fixed it 💸

For these and other improvements, update your app today! 🏃‍♂️

Stay tuned for more updates in the coming weeks!


Want to learn more?
Explore more bunq knowledge here 🌈
",NA,bunq has rolled out a new update to our app that includes small new improvements and features that will make your life easy .
27,⚡️What’s new in App Update 18.3.0,"['Updates', ""What's New?""]","
Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will make your life easy.



iOS

What’s new 🙌

Would you rather see yearly Budgets and Insights on the Home screen, instead of monthly data? Simply change your settings from monthly to yearly, and the brand new insights will be visible on your Home screen right away.

What’s fixed 🔨

When choosing a lower than minimum PaySafeCash limit, the error screen was confusing. We’ve fixed that for a better user experience. 💸

When looking for someone from your Inner Circle through the Search bar twice, the app would crash. That’s fixed.



Android

What’s new 🙌

Failed payment? No worries. We’ll direct you to a helpful Together page that explains the whys, the hows, and what to do next. 📚

What’s fixed 🔨

When looking for something in the app through the Search bar, the screen shows you all results if you add a “space” after your search terms. We’ve fixed that.



For these and other improvements, update your app today! 🏃‍♂️

Stay tuned for more updates in the coming weeks!



Want to learn more?
Explore more bunq knowledge here 🌈
",Local Ibans,a new update to our app includes small new improvements and features that will make your life easy .
28,What are the benefits of the Easy Bank plan? ✨,['Knowledge'],"Hey bunqers 🌈

We’ve launched the Easy Bank plan during bunq Update 17 in order to make life easy for only €2.99 per month.  Wondering what the plan offers?  Here are some pro tips on how to make the most out of Easy Bank  🚀

bunq.me links 💸

bunq.me is the easiest way to get your money back. It works with any bank and you can set up your link in just seconds. You can even share it as many times as you’d like through WhatsApp or various other apps. It never expires!

After creating your bunq.me link, you’ll receive your very own bunq.me page that you can personalize. Your in-app nickname will be displayed there. If you wish to edit this, you can do so within your app Profile. You can see how personalization works here

Learn more about how to set your bunq.me link and check your daily limits here✨

Auto Accept ✅

For optimum control, we make sure that you authorize a payment before it’s done. From now on, you never have to manually approve payments to your favorite online stores or to your best friends. You can simply enable Auto Accept and automatically approve all future payments to your selected list. 👀

You can check how to set your Auto Accept list here ✨

Inner Circle 👯‍♀️

Find all your bunq friends in one place!

Using bunq with friends and loved ones? Add them to your Inner Circle for an easy overview and check on them whenever you want and need. 

You can learn more about this cool feature here

Activities 🏃‍♂️

Splitting the bill after an awesome day of having fun together with your friends? Use bunq Activities instead so you can focus on the good times! 

With Activities, you can enjoy spending time together without ever having to think about expenses. Simply start an activity and all your card payments are automatically added to a shared pot. Split it at the end with one tap!

See how this feature works here

And if you’re curious what other benefits Easy Bank has to offer, you can always read more  here and explore 🍹



Want to learn more?
Explore more bunq knowledge here 🌈
",NA,bunq launched the Easy Bank plan during bunq Update 17 in order to make life easy for only 2.99 per month . bunq.
29,Make cash deposits easily with PaysafeCash 💸,"['Knowledge', 'Features', ""What's New?""]","Hey bunqers 🌈

We always work towards making life easy. And what way to make it easier than safe and fast deposits for your account? That’s why we’ve teamed up with PaysafeCash and now you can use their services with just a few clicks in the app. Read below to see how. 



How does it work?

Simply create a deposit in the app by clicking on “Add money”. The first time you do this, we create a Paysafe account for you. If you have an account already, you can use the credentials to log in. 🚀

If you don't have an account already, when you first land on the PaysafeCash screen, click on the register button.

When you want to make a deposit, we create a Paysafe barcode for you. The barcode can be downloaded as PDF, added to a wallet, or sent as SMS or e-mail. Of course, you can also find it again in the app. 

You can use the barcode to deposit your cash at any of the supported stores. These will also show up in your app on the map. Find a store nearby and ask at the counter about the deposit. 

The staff will help you make the deposit by scanning the barcode. Right after, the money will be credited to your bunq account. 💸

This feature is now available in Belgium, Bulgaria, Croatia, Republic of Cyprus, Czech Republic, France, Greece, Hungary, Ireland, Latvia, Lithuania, Luxembourg, Malta, The Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain and Sweden.

For our users in Italy, Germany and Austria, you can check our Barzahlen Cash Deposit feature here. 💪



Fees and limits

Fees

With this feature, you can deposit up to €100,00 free of charge. After this limit has been passed the deposit fee is 2.5%

Limits

Minimum (per deposit): €10.00
Maximum (per deposit): €250.00
Daily limit: €500.00
Monthly limit: €2000.00
Yearly limit: €5000.00

The limits apply for both personal and business users.



FAQ

 The staff doesn’t know how to deposit my money, what should I do?

If the staff of the store is unsure how to complete the deposit for you, there’s a button on the deposit screen that opens instructions for the staff ✨

There’s a store in the system that doesn’t exist anymore, what now? 

In cases where the store is closed or doesn’t exist at all, please make sure to report the store  to us via the in-app Support Center. We’ll make sure to report the case right away to PaySafe so that we can update our database accordingly. 



Want to learn more?
Explore more bunq knowledge here. 🌈",Cards,bunq has teamed up with paysafe cash to make it easier to make deposits .
30,⚡️What’s new in App Update 18.2.0,"['Updates', 'Knowledge', ""What's New?""]","Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will make your life easy.



iOS

What’s new 🙌

Failed payment? No worries, we’ll guide you through it. You’ll now get an explanation of why your payment may have failed, as well as possible solutions or next steps. 📲

You can now add money to your account in almost all European countries with PaysafeCash.

What’s fixed 🔨

The iOS version number was stuck on the top of your Profile screen. We’ve fixed that!

Ordering a card for a joint account sometimes led to the error ""Resource not found"". Fixed. 💳

It was not always possible to copy a payment amount. It’s all good now.

You’d sometimes get an error when choosing a particular sub-account icon. It works now! 🚀

When ordering a replacement card in the app, you’d sometimes get an error saying “Cannot update CardExpiryStatus from 'REPLACED' to 'ADDRESS_CONFIRMED'”, even though your order was successful. Fixed.


Android

What’s new 🙌

You can now add money to your account in almost all European countries with PaysafeCash. 💸

What’s fixed 🔨

Currency conversion was sometimes incorrect when changing monetary accounts. That’s fixed.

When enabling local currency while traveling abroad, you’ll now see payments in both € and the local currency. 🙌

When creating an activity with non-bunq users, you’d see a blank instead of their details to split the costs. All good now!


For these and other improvements, update your app today! 🏃‍♂️

Stay tuned for more updates in the coming weeks!



Want to learn more?
Explore more bunq knowledge here 🌈
",Local Ibans,bunq has rolled out a new update to our app that includes small new improvements and features that will make your life easy .
31,🇸🇪 Sweden: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Sweden? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Sweden, or can I use my card everywhere?
Sweden is fast becoming a completely cashless society, to the point where churches and homeless people often accept card payments.

You can easily rely on your card in Sweden, without carrying cash.


💰 What currency do they use here?
The currency here is Krona. The symbol is kr or SEK.


🏧 Which ATM’s can I use for free?
The bunq community has reported free withdrawals at these ATMs.


BANKOMATEN


💵 If I want cash, how much should I take out of an ATM?
500 SEK should be enough for a few days, since you can use your card for nearly everything.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
All EU mobile plans should let you roam for free.

If you don't have an EU plan, you can learn about your local SIM card options here


  
Useful things to know
💁‍♀️ How does tipping work?
Tipping is not mandatory in Sweden. 

You only do it if you find the food and service were great, in which case you would normally tip 10%.
🍺 How much does a 0.5L beer cost?
€6,00
🍽 How much does an average meal cost?
€11,50
🚨 What’s the emergency number?
112


🔌 What type of plug do they use?
This one! It’s the standard European plug.



🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well in Sweden.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
Of course, don't forget to try Swedish Meatballs in while you're in Sweden! 🍴
The only place to buy alcohol in Sweden (apart from a bar) is the Systembolaget, which is a government run monopoly. Plan ahead, because they close at 6pm! 🍷
  
Travel Perks
🎢 Visit famous attractions with 10% off
We've partnered with Tiqets to bring you discounts on attraction tickets in Sweden 🇸🇪. To get your discount, simply follow the link here and use our coupon code BUNQTIQETS10 at checkout. That's it! 🎊


If you've been to Sweden 🇸🇪 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,"Sweden is fast becoming a cashless society, to the point where churches and homeless people often accept card payments ."
32,🇺🇦 Ukraine: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Ukraine? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Ukraine, or can I use my card everywhere?
Most touristy places take cards, however smaller shops may require cash. Make sure you always carry some on you.


💰 What currency do they use here?
The currency here is Ukrainian hryvnia. The symbol is ₴ or UAH.


🏧 Which ATM’s can I use for free?
The bunq community has reported free withdrawals at these ATMs.


Kredo Bank


💵 If I want cash, how much should I take out of an ATM?
3 000 UAH should be enough for a few days.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
Most EU mobile plans will charge you for roaming.

Wifi is readily available, especially in coffee shops.

If you want to get a local SIM card, you can learn about your options here.


  
Useful things to know
💁‍♀️ How does tipping work?
Tipping is an unusual practice. But if you find the service above average, it is acceptable to leave a tip of up to 10%. 
🍺 How much does a 0.5L beer cost?
€0,90
🍽 How much does an average meal cost?
€4,30
🚨 What’s the emergency number?
112


🔌 What type of plug do they use?
This one! It’s the standard European plug.



🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well here.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
The Gorky Central Park of Culture and Leisure is one of the top attractions.
  

If you've been to Ukraine 🇺🇦 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,bunq has gathered some tips for a trip to Ukraine . currency here is Ukrainian hryvnia. the symbol is or UAH .
33,⚡️What’s new in App Update 18.1.0,['No Tag'],"Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will make your life easy.



iOS

What’s new 🙌

If you’re sending a payment to a person that is currently switching banks, we’ll let you know, so you can choose to re-do the payment to the person’s new IBAN. This way, it will be processed quicker. 💸

What’s fixed 🔨

We’ve made a couple of UI fixes to our design following bunq Update 18.

The brand new Search bar wasn’t working properly for all our users. It’s fixed now. 🔎

When looking at a payment you’ve made abroad in a different currency, you’d only see the converted amount. Now you can see both: your local currency and the foreign one.

You couldn’t always categorize your subscription payments properly. That’s fixed. 🗒

When choosing to see your payments and balance in the local currency while traveling abroad, this will now apply to both your personal and business accounts.



Android

What’s fixed 🔨

We’ve made a couple of UI fixes to our design following bunq Update 18. 🌈

When topping up your account from a refill notification, you’d sometimes be taken back to the refill event, not knowing if the top-up was successful. We’ve fixed that.

The BIC for Spanish IBANs wasn’t being displayed correctly. All good now. 🚀

You couldn’t always choose a new bunq plan when leaving a bunq Pack. It’s fixed now.


For these and other improvements, update your app today! 🏃‍♂️

Stay tuned for more updates in the coming weeks!



Want to learn more?
Explore more bunq knowledge here 🌈
",NA,bunq has rolled out a new update to our app that includes small new improvements and features that will make your life easier .
34,🇭🇷 Croatia: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Croatia? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Croatia, or can I use my card everywhere?
Card payments are very widely accepted in Croatia, but especially outside the big cities it's a good idea to take come cash as a backup.


💰 What currency do they use here?
The currency here is Kuna. The symbol is kn or HRK


🏧 Which ATM’s can I use for free?
The bunq community has reported free withdrawals at these ATMs.


Erste Bank
IKB (Istarska Kreditna Banka)
PBZ (Privredna Banka Zagreb)
Sberbank
Splitska Banka


💵 If I want cash, how much should I take out of an ATM?
700 HRK should be enough for a few days.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
All EU mobile plans should let you roam for free.

If you don't have an EU plan, you can learn about your local SIM card options here.


  
Useful things to know
💁‍♀️ How does tipping work?
Usually the tip is included in the bill, so there's no need to tip on top. 

If you recieve great service, rounding up or adding 10% would be appropriate to show your appreciation.
🍺 How much does a 0.5L beer cost?
€2,00
🍽 How much does an average meal cost?
€6,70
🚨 What’s the emergency number?
112


🔌 What type of plug do they use?
This one! It’s the standard European plug.



🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well in Croatia.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
Try the seafood! Croatia seafood is world class, and extremely fresh from thr Adriatic sea. 🐟
A good dish to try is Riblja Plata whch is a mixed seafood platter, usually for two people.
 

Travel Perks
 🎢 Visit famous attractions with 10% off

We've partnered with Tiqets to bring you discounts on attraction tickets in Croatia 🇭🇷. To get your discount, simply follow the link here and use our coupon code BUNQTIQETS10 at checkout. That's it! 🎊

 Travel hands-free with a 20% discount on Stasher

Our partnership with Stasher will allow you to enjoy your destination to the fullest without having to worry about your luggage. You’ll be able to drop off your bags at trusted shops and hotels in Croatia with a 20% discount through this link 👌🏻.	


If you've been to Croatia 🇭🇷 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,the currency here is Kuna. The symbol is kn or HRK Which ATMs are free The bunq community has reported free withdrawals at these ATMs .
35,🇨🇭 Switzerland: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Switzerland? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Switzerland, or can I use my card everywhere?
Card payments are widely accepted in Switzerland. It is a good idea to have some cash on you just in case.


💰 What currency do they use here?
The currency here is Swiss francs.  The symbol is CHF.


🏧 Which ATM’s can I use for free?
The bunq community has reported that all ATM's here are free to use. 🎉






💵 If I want cash, how much should I take out of an ATM?
30 CHF. should be enough for a few days, since you can use your card for nearly everything.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
Some EU mobile plans will charge you for roaming in Switzerland.Some others have decided to consider this country as part of the EU in terms of roaming.

Wifi is readily available in Switzerland, especially in coffee shops.

If you want to get a local SIM card, you can learn about your options here.


  
Useful things to know
💁‍♀️ How does tipping work?
A service charge is generally included in the bill. If you feel the service was good, you can round up the amount to the nearest few euros. A 10% tip is considered excesive though. 
🍺 How much does a 0.5L beer cost?
€6,50
🍽 How much does an average meal cost?
€23,00
🚨 What’s the emergency number?
112


🔌 What type of plug do they use?
These ones:




🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well in Switzerland.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
Do not spend your money on taxis! Public transport is amazingly effective in this country. In addition, most of the cities are walkable.
  
Travel Perks
🎢 Visit famous attractions with 10% off
We've partnered with Tiqets to bring you discounts on attraction tickets in Switzerland 🇨🇭. To get your discount, simply follow the link here and use our coupon code BUNQTIQETS10 at checkout. That's it! 🎊


If you've been to Switzerland 🇨🇭 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,bunq has compiled a list of useful tips for your trip to the swiss Alps . can I use my card everywhere?
36,Top up Notifications 💸,"['Updates', 'Knowledge', ""What's New?""]","bunq Update 18: Top up Notifications 💸
Hey bunqers 🌈

Our mission is to make sure that you get a banking experience that suits your needs, so you can spend time doing what you really love. Let’s make sure you always have money for those fun things! From now on, we'll remind you to top up whenever you reach the limit you set. 🚀

You’ll receive a notification in the app informing that your balance is too low. With just a couple of taps you’ll add money to your account and keep it going! 💸 This way your account is always ready when you need it. 

We explain here how to activate and deactivate the notifications:

Go to the Home tab
Select the sub-account 
Press on the ⚙️ Settings button
🟨 Refil Notifications



Want to learn more?
Explore more bunq knowledge here 🌈

",NA,bunq update 18 top up notifications . youll receive a notification in the app informing that your balance is too low .
37,Local currency abroad 🛩 ,"['Updates', 'Knowledge', ""What's New?""]","bunq Update 18: Local currency abroad 🛩
Hey bunqers 🌈

Get ready to bank like a local. From now on, your bunq app will show you all payments and balances in the local currency of the country you're visiting. 💸

That means that whenever you go out of the Eurozone, the app will show your balance in the local currency next to the balance in Euros. We’re here to be your best travelling companion. 😎 If  you prefer seeing your balance only  in Euros, disable the Local currency in seconds by following these steps:

Go to Profile
⚙️ Settings 
🟦 Display Local Currency

Should I buy a lemonade in Buenos Aires for 227 Argentine Pesos? Well, now that you know how many pesos you have you can answer this question! 🍹

You can see how this cool feature works bellow:

 




Want to learn more?
Explore more bunq knowledge here 🌈
",Local Ibans,your bunq app will now show all payments and balances in the local currency of the country youre visiting .
38,Debit reminders 📱,"['Updates', 'Knowledge', ""What's New?""]","bunq Update 18: Debit reminders 📱
Hey bunqers 🌈

To help you make recurring payments easily and worry free we offer the possibility of accepting direct debits in your app. 📲 For every direct debit, you will receive a notification and you can choose to approve or decline it.

Before your direct debit expires, we not only send you an automatic reminder, you can now choose to automatically accept the direct debit when it expires. This way you’ll always pay your direct debits on time, even if you don’t have access to your account 💸. 

For example, you can pay your gym subscription, the telephone bill or Netflix effortlessly. When receiving a direct debit for the first time you’ll have the option to accept all future payments automatically, saving time. 

Depending on the type of direct debit, the notification will expire in different deadline 

If the direct debit is B2B ➡️ you’ll have 1 day to respond. 
This kind of direct debit is received the next morning after the request was made 

If the direct debit is on a personal account ➡️ you’ll have 5 days to respond.
These are received within 2 and 4 days after the creation of the direct debit

We have more information on how we can help you with direct debits here

How does it work 🚀
Go to Home
Select the sub-account
Tap on Settings
Auto Direct Debit



Want to learn more?
Explore more bunq knowledge here 🌈
",Withdrawals,"for every direct debit, you will receive a notification and you can choose to approve or decline it ."
